"country","date","year","month","day","wday","avg_hourly_demand","seasonal_avg_hourly_demand","holiday","weighted_temperature"
"FR",2018-10-10,2018,10,10,4,48742,-5055.9551369863,0,18.0477540837344
"FR",2018-10-11,2018,10,11,5,48089.4583333333,-5708.49680365297,0,19.3082397537793
"FR",2018-10-12,2018,10,12,6,47371.7916666667,-6426.16347031964,0,19.7101040271511
"FR",2018-10-13,2018,10,13,7,42634.1666666667,-11163.7884703196,0,20.0978645532567
"FR",2018-10-14,2018,10,14,1,40461.4166666667,-13336.5384703196,0,19.8341159378717
"FR",2018-10-15,2018,10,15,2,47185.0416666667,-6612.91347031964,0,19.0084346417814
"FR",2018-10-16,2018,10,16,3,48380.4166666667,-5417.53847031964,0,18.0677575209666
"FR",2018-10-17,2018,10,17,4,48658.25,-5139.7051369863,0,16.9941540150455
"FR",2018-10-18,2018,10,18,5,48216.5416666667,-5581.41347031964,0,16.4802839466061
"FR",2018-10-19,2018,10,19,6,48311.625,-5486.3301369863,0,15.3425698565882
"FR",2018-10-20,2018,10,20,7,43529.4166666667,-10268.5384703196,0,14.2433392056202
"FR",2018-10-21,2018,10,21,1,41877.3333333333,-11920.621803653,0,13.5182676488844
"FR",2018-10-22,2018,10,22,2,49964.7083333333,-3833.24680365297,0,13.5118174999725
"FR",2018-10-23,2018,10,23,3,52128.5,-1669.4551369863,0,13.0256652807624
"FR",2018-10-24,2018,10,24,4,52188.9166666667,-1609.03847031964,0,14.4060224462696
"FR",2018-10-25,2018,10,25,5,51722.0416666667,-2075.91347031964,0,13.8532184188258
"FR",2018-10-26,2018,10,26,6,52868.375,-929.580136986304,0,12.3682661365579
"FR",2018-10-27,2018,10,27,7,50785.4166666667,-3012.53847031964,0,9.07618420386885
"FR",2018-10-28,2018,10,28,1,51757.5833333333,-2040.37180365297,0,7.30634046691441
"FR",2018-10-29,2018,10,29,2,63274.1666666667,9476.21152968036,0,6.1860769931661
"FR",2018-10-30,2018,10,30,3,63579.5,9781.5448630137,0,7.68349191853174
"FR",2018-10-31,2018,10,31,4,61559.2083333333,7761.25319634703,0,9.79870160154673
"FR",2018-11-01,2018,11,1,5,52978.2916666667,-819.66347031964,1,12.0887165847453
"FR",2018-11-02,2018,11,2,6,56335.1666666667,2537.21152968036,0,10.9661653266449
"FR",2018-11-03,2018,11,3,7,55473.6666666667,1675.71152968036,0,10.3879973260023
"FR",2018-11-04,2018,11,4,1,52345.125,-1452.8301369863,0,11.4964431425692
"FR",2018-11-05,2018,11,5,2,56605.9583333333,2808.00319634703,0,14.9079806135166
"FR",2018-11-06,2018,11,6,3,56663.7083333333,2865.75319634703,0,13.3118331912556
"FR",2018-11-07,2018,11,7,4,58203.7916666667,4405.83652968036,0,12.388964909427
"FR",2018-11-08,2018,11,8,5,58983.9166666667,5185.96152968036,0,10.8724905591106
"FR",2018-11-09,2018,11,9,6,57392.5,3594.5448630137,0,11.996105167041
"FR",2018-11-10,2018,11,10,7,51026.9583333333,-2770.99680365297,0,13.2619496438506
"FR",2018-11-11,2018,11,11,1,48028.875,-5769.0801369863,1,13.6986858789272
"FR",2018-11-12,2018,11,12,2,55065.5833333333,1267.62819634703,0,13.7816433956565
"FR",2018-11-13,2018,11,13,3,56186.5416666667,2388.58652968036,0,12.9627265754225
"FR",2018-11-14,2018,11,14,4,57579.125,3781.1698630137,0,11.7043004849062
"FR",2018-11-15,2018,11,15,5,57884.0416666667,4086.08652968036,0,11.5525228462346
"FR",2018-11-16,2018,11,16,6,58868,5070.0448630137,0,9.92914577809335
"FR",2018-11-17,2018,11,17,7,55864.4583333333,2066.50319634703,0,8.23380101157215
"FR",2018-11-18,2018,11,18,1,56165.8333333333,2367.87819634703,0,6.94736001467445
"FR",2018-11-19,2018,11,19,2,68177.1666666667,14379.2115296804,0,4.70034508919729
"FR",2018-11-20,2018,11,20,3,71455.5416666667,17657.5865296804,0,4.33242140746158
"FR",2018-11-21,2018,11,21,4,71182.9583333333,17385.003196347,0,5.44701849373123
"FR",2018-11-22,2018,11,22,5,69669.5,15871.5448630137,0,6.76990237619239
"FR",2018-11-23,2018,11,23,6,67842.75,14044.7948630137,0,7.48585973388351
"FR",2018-11-24,2018,11,24,7,59818.0416666667,6020.08652968036,0,8.19539753765379
"FR",2018-11-25,2018,11,25,1,58622.9166666667,4824.96152968036,0,7.54590022241652
"FR",2018-11-26,2018,11,26,2,67191.875,13393.9198630137,0,6.62583608304944
"FR",2018-11-27,2018,11,27,3,68205.5416666667,14407.5865296804,0,7.78600226890781
"FR",2018-11-28,2018,11,28,4,65704.4166666667,11906.4615296804,0,9.45662086059877
"FR",2018-11-29,2018,11,29,5,63210.0416666667,9412.08652968036,0,11.3807175591693
"FR",2018-11-30,2018,11,30,6,62387.1666666667,8589.21152968036,0,10.1245135291887
"FR",2018-12-01,2018,12,1,7,57557.5,3759.5448630137,0,9.02282736187407
"FR",2018-12-02,2018,12,2,1,52858.3333333333,-939.621803652968,0,12.4397901587831
"FR",2018-12-03,2018,12,3,2,57597.9166666667,3799.96152968036,0,13.0772907529114
"FR",2018-12-04,2018,12,4,3,59536.625,5738.6698630137,0,11.4940683908861
"FR",2018-12-05,2018,12,5,4,61042.25,7244.2948630137,0,10.3620972664247
"FR",2018-12-06,2018,12,6,5,59642.875,5844.9198630137,0,12.4014948336281
"FR",2018-12-07,2018,12,7,6,59788.375,5990.4198630137,0,10.9643161489841
"FR",2018-12-08,2018,12,8,7,56699.875,2901.9198630137,0,10.1603757789701
"FR",2018-12-09,2018,12,9,1,54395.875,597.919863013696,0,10.9015652090767
"FR",2018-12-10,2018,12,10,2,63595.2916666667,9797.33652968036,0,9.09506403134377
"FR",2018-12-11,2018,12,11,3,68193.4583333333,14395.503196347,0,6.38657330106851
"FR",2018-12-12,2018,12,12,4,71377.4583333333,17579.503196347,0,3.51828381753566
"FR",2018-12-13,2018,12,13,5,74424.5416666667,20626.5865296804,0,3.11011216723069
"FR",2018-12-14,2018,12,14,6,73518.25,19720.2948630137,0,2.6817978341534
"FR",2018-12-15,2018,12,15,7,70873.9166666667,17075.9615296804,0,2.64554019115527
"FR",2018-12-16,2018,12,16,1,64313.1666666667,10515.2115296804,0,6.27931509593098
"FR",2018-12-17,2018,12,17,2,68407.0833333333,14609.128196347,0,7.48434914975893
"FR",2018-12-18,2018,12,18,3,69658,15860.0448630137,0,7.41125113720676
"FR",2018-12-19,2018,12,19,4,67167.375,13369.4198630137,0,9.31619751791689
"FR",2018-12-20,2018,12,20,5,66397.9583333333,12600.003196347,0,8.11469285765161
"FR",2018-12-21,2018,12,21,6,62925.4166666667,9127.46152968036,0,11.1534728799448
"FR",2018-12-22,2018,12,22,7,54525,727.044863013696,0,11.6326014370307
"FR",2018-12-23,2018,12,23,1,51876.4166666667,-1921.53847031964,0,11.734814005453
"FR",2018-12-24,2018,12,24,2,53837.625,39.6698630136962,0,10.0565817910043
"FR",2018-12-25,2018,12,25,3,54191.875,393.919863013696,1,5.83125769666133
"FR",2018-12-26,2018,12,26,4,65141.0833333333,11343.128196347,0,3.03782838565634
"FR",2018-12-27,2018,12,27,5,68562.0833333333,14764.128196347,0,2.37925125763533
"FR",2018-12-28,2018,12,28,6,68165.875,14367.9198630137,0,3.49831098923293
"FR",2018-12-29,2018,12,29,7,64667.625,10869.6698630137,0,4.73817396270087
"FR",2018-12-30,2018,12,30,1,61140.9166666667,7342.96152968036,0,6.86504727866963
"FR",2018-12-31,2018,12,31,2,62116.125,8318.1698630137,0,7.38893041165804
"FR",2019-01-01,2019,1,1,3,57831.4583333333,4456.50639269406,1,7.45264833448256
"FR",2019-01-02,2019,1,2,4,65785.1666666667,12410.2147260274,0,6.52985383957381
"FR",2019-01-03,2019,1,3,5,71853.375,18478.4230593607,0,4.43204412034662
"FR",2019-01-04,2019,1,4,6,74400,21025.0480593607,0,3.79430981951464
"FR",2019-01-05,2019,1,5,7,69719.5833333333,16344.6313926941,0,4.46843759395415
"FR",2019-01-06,2019,1,6,1,67324.625,13949.6730593607,0,5.25847342563682
"FR",2019-01-07,2019,1,7,2,72954.8333333333,19579.8813926941,0,6.22896846653027
"FR",2019-01-08,2019,1,8,3,71816.2083333333,18441.2563926941,0,7.33211289286861
"FR",2019-01-09,2019,1,9,4,73676.375,20301.4230593607,0,5.53015436741058
"FR",2019-01-10,2019,1,10,5,77196.5833333333,23821.6313926941,0,3.81556528183562
"FR",2019-01-11,2019,1,11,6,75971.1666666667,22596.2147260274,0,4.73876208345338
"FR",2019-01-12,2019,1,12,7,67517.0416666667,14142.0897260274,0,6.62124230438406
"FR",2019-01-13,2019,1,13,1,61161.125,7786.17305936073,0,9.51640053206014
"FR",2019-01-14,2019,1,14,2,67429.0416666667,14054.0897260274,0,9.09922867170209
"FR",2019-01-15,2019,1,15,3,69931.6666666667,16556.7147260274,0,7.12598293900641
"FR",2019-01-16,2019,1,16,4,71758.7083333333,18383.7563926941,0,5.67889970097752
"FR",2019-01-17,2019,1,17,5,70658,17283.0480593607,0,6.64480637134068
"FR",2019-01-18,2019,1,18,6,74431.7083333333,21056.7563926941,0,3.64702349765004
"FR",2019-01-19,2019,1,19,7,69525.875,16150.9230593607,0,2.50710602467643
"FR",2019-01-20,2019,1,20,1,66760.5,13385.5480593607,0,4.22291369689661
"FR",2019-01-21,2019,1,21,2,76651.3333333333,23276.3813926941,0,2.10562554769564
"FR",2019-01-22,2019,1,22,3,78580,25205.0480593607,0,1.76456867265269
"FR",2019-01-23,2019,1,23,4,78205.875,24830.9230593607,0,2.53486557787526
"FR",2019-01-24,2019,1,24,5,79692.4166666667,26317.4647260274,0,2.44466258185205
"FR",2019-01-25,2019,1,25,6,76665.7916666667,23290.8397260274,0,4.19010893907583
"FR",2019-01-26,2019,1,26,7,66524.2916666667,13149.3397260274,0,7.79848066250212
"FR",2019-01-27,2019,1,27,1,63927.375,10552.4230593607,0,6.78681259710774
"FR",2019-01-28,2019,1,28,2,73303.6666666667,19928.7147260274,0,5.13449213778423
"FR",2019-01-29,2019,1,29,3,76002.2083333333,22627.2563926941,0,3.43109765489045
"FR",2019-01-30,2019,1,30,4,76488.7916666667,23113.8397260274,0,3.74682891629475
"FR",2019-01-31,2019,1,31,5,77500.2916666667,24125.3397260274,0,3.89841317232144
"FR",2019-02-01,2019,2,1,6,73253.25,19878.2980593607,0,7.13523263413673
"FR",2019-02-02,2019,2,2,7,68424.7916666667,15049.8397260274,0,5.22923268459408
"FR",2019-02-03,2019,2,3,1,68011,14636.0480593607,0,4.27219711202799
"FR",2019-02-04,2019,2,4,2,77503.875,24128.9230593607,0,3.34455844737459
"FR",2019-02-05,2019,2,5,3,74703.7083333333,21328.7563926941,0,5.48793872973221
"FR",2019-02-06,2019,2,6,4,71372.7083333333,17997.7563926941,0,7.02941232388541
"FR",2019-02-07,2019,2,7,5,69374.625,15999.6730593607,0,7.88056284190251
"FR",2019-02-08,2019,2,8,6,68510.9166666667,15135.9647260274,0,8.28119128671382
"FR",2019-02-09,2019,2,9,7,61051.0416666667,7676.08972602739,0,9.43383748860703
"FR",2019-02-10,2019,2,10,1,59090.0416666667,5715.08972602739,0,9.16144472195983
"FR",2019-02-11,2019,2,11,2,69211.8333333333,15836.8813926941,0,7.17590745510028
"FR",2019-02-12,2019,2,12,3,71338.5,17963.5480593607,0,6.03412924913202
"FR",2019-02-13,2019,2,13,4,71102.5833333333,17727.6313926941,0,5.16952632960325
"FR",2019-02-14,2019,2,14,5,68968.1666666667,15593.2147260274,0,7.23970477157808
"FR",2019-02-15,2019,2,15,6,65935.125,12560.1730593607,0,8.10906834140442
"FR",2019-02-16,2019,2,16,7,59369.375,5994.42305936073,0,8.4735855670813
"FR",2019-02-17,2019,2,17,1,55313.7083333333,1938.75639269406,0,9.64988608767005
"FR",2019-02-18,2019,2,18,2,62313.875,8938.92305936073,0,9.51505162051005
"FR",2019-02-19,2019,2,19,3,64645.1666666667,11270.2147260274,0,8.29494678074486
"FR",2019-02-20,2019,2,20,4,65276.8333333333,11901.8813926941,0,7.79927507294362
"FR",2019-02-21,2019,2,21,5,64220.5833333333,10845.6313926941,0,9.01110217653742
"FR",2019-02-22,2019,2,22,6,61630.2916666667,8255.33972602739,0,10.6435879101419
"FR",2019-02-23,2019,2,23,7,54420.7083333333,1045.75639269406,0,10.7301794566971
"FR",2019-02-24,2019,2,24,1,53375.125,0.173059360728075,0,9.70301104890362
"FR",2019-02-25,2019,2,25,2,60115.8333333333,6740.88139269406,0,10.5161201592835
"FR",2019-02-26,2019,2,26,3,59238.25,5863.29805936073,0,11.5410958052525
"FR",2019-02-27,2019,2,27,4,58322.4166666667,4947.46472602739,0,11.7360282154116
"FR",2019-02-28,2019,2,28,5,58086.875,4711.92305936073,0,11.5452230904509
"FR",2019-03-01,2019,3,1,6,58635.125,5260.17305936073,0,11.1401994904923
"FR",2019-03-02,2019,3,2,7,53816.625,441.673059360728,0,10.8052472430707
"FR",2019-03-03,2019,3,3,1,51023.5,-2351.45194063927,0,11.9628197403064
"FR",2019-03-04,2019,3,4,2,59760.4166666667,6385.46472602739,0,10.5324286833547
"FR",2019-03-05,2019,3,5,3,61072.1666666667,7697.21472602739,0,10.001613840477
"FR",2019-03-06,2019,3,6,4,60897.7916666667,7522.83972602739,0,11.3156887211252
"FR",2019-03-07,2019,3,7,5,60180.9583333333,6806.00639269406,0,10.6894220780425
"FR",2019-03-08,2019,3,8,6,60738.9583333333,7364.00639269406,0,9.68057186010716
"FR",2019-03-09,2019,3,9,7,54189.125,814.173059360728,0,11.761217775425
"FR",2019-03-10,2019,3,10,1,50432.375,-2942.57694063927,0,12.1621754753061
"FR",2019-03-11,2019,3,11,2,60489,7114.04805936073,0,8.69608448231812
"FR",2019-03-12,2019,3,12,3,63032.1666666667,9657.21472602739,0,8.27951045784184
"FR",2019-03-13,2019,3,13,4,63180.4583333333,9805.50639269406,0,8.24656320681224
"FR",2019-03-14,2019,3,14,5,63960.5,10585.5480593607,0,9.85671718952043
"FR",2019-03-15,2019,3,15,6,60450.1666666667,7075.21472602739,0,12.6659845029053
"FR",2019-03-16,2019,3,16,7,52387.2083333333,-987.743607305936,0,12.1968509182052
"FR",2019-03-17,2019,3,17,1,51897.5833333333,-1477.36860730594,0,9.32634078192434
"FR",2019-03-18,2019,3,18,2,61932.5,8557.54805936073,0,8.44392516590639
"FR",2019-03-19,2019,3,19,3,62462.2083333333,9087.25639269406,0,9.00123069919521
"FR",2019-03-20,2019,3,20,4,61443.4166666667,8068.46472602739,0,9.45873296036715
"FR",2019-03-21,2019,3,21,5,59334.375,5959.42305936073,0,10.6308993937731
"FR",2019-03-22,2019,3,22,6,57257.7083333333,3882.75639269406,0,11.8706393321678
"FR",2019-03-23,2019,3,23,7,51002.25,-2372.70194063927,0,11.386125471243
"FR",2019-03-24,2019,3,24,1,48446.7916666667,-4928.16027397261,0,11.347509407437
"FR",2019-03-25,2019,3,25,2,56673.8333333333,3298.88139269406,0,10.0552968850118
"FR",2019-03-26,2019,3,26,3,58578.5,5203.54805936073,0,9.81994188484937
"FR",2019-03-27,2019,3,27,4,58428.9166666667,5053.96472602739,0,9.84754139627734
"FR",2019-03-28,2019,3,28,5,57249.25,3874.29805936073,0,10.4285063079345
"FR",2019-03-29,2019,3,29,6,55243.7916666667,1868.83972602739,0,12.0302630040211
"FR",2019-03-30,2019,3,30,7,48767.1666666667,-4607.78527397261,0,12.808854455237
