"month","wday","hour","modelfit"
3,"Fri",1,-3713.07789855075
3,"Fri",2,-3898.22644927526
3,"Fri",3,-3883.61775362304
3,"Fri",4,-3601.44384057971
3,"Fri",5,-3078.61775362312
3,"Fri",6,-1084.74818840595
3,"Fri",7,884.643115941981
3,"Fri",8,1862.59963768119
3,"Fri",9,2090.94746376785
3,"Fri",10,1941.20833333327
3,"Fri",11,2177.86050724642
3,"Fri",12,2171.16485507249
3,"Fri",13,2151.25181159445
3,"Fri",14,1703.07789855076
3,"Fri",15,1402.64311594213
3,"Fri",16,1195.86050724635
3,"Fri",17,1401.33876811586
3,"Fri",18,2232.46920289854
3,"Fri",19,2477.38224637674
3,"Fri",20,1849.55615942024
3,"Fri",21,410.730072463789
3,"Fri",22,-1058.96557971011
3,"Fri",23,-2296.00905797101
3,"Fri",24,-3341.05253623188
3,"Sat",1,-1798.70454545456
3,"Sat",2,-2018.14772727269
3,"Sat",3,-2090.87500000001
3,"Sat",4,-2052.46590909082
3,"Sat",5,-2127.14772727271
3,"Sat",6,-1525.42045454542
3,"Sat",7,-237.465909090985
3,"Sat",8,949.034090909045
3,"Sat",9,1618.0340909093
3,"Sat",10,1811.2613636364
3,"Sat",11,1888.715909091
3,"Sat",12,1702.94318181832
3,"Sat",13,1515.67045454541
3,"Sat",14,890.215909091015
3,"Sat",15,545.988636363609
3,"Sat",16,470.306818181805
3,"Sat",17,747.715909090894
3,"Sat",18,1775.57954545462
3,"Sat",19,1948.35227272727
3,"Sat",20,1367.62499999988
3,"Sat",21,228.534090909085
3,"Sat",22,-826.920454545467
3,"Sat",23,-1930.05681818181
3,"Sat",24,-2904.05681818181
4,"Sun",1,-3166.76515151516
4,"Sun",2,-1505.05871212112
4,"Sun",3,-1672.0132575758
4,"Sun",4,-1680.42234848484
4,"Sun",5,-1925.37689393937
4,"Sun",6,-1851.42234848482
4,"Sun",7,-1029.05871212127
4,"Sun",8,-83.422348484881
4,"Sun",9,571.077651515209
4,"Sun",10,864.12310606063
4,"Sun",11,945.986742424284
4,"Sun",12,933.668560606111
4,"Sun",13,858.577651515136
4,"Sun",14,532.759469697006
4,"Sun",15,179.032196969688
4,"Sun",16,45.1685606060583
4,"Sun",17,156.395833333324
4,"Sun",18,490.895833333351
4,"Sun",19,1265.30492424242
4,"Sun",20,2232.80492424237
4,"Sun",21,1768.16856060606
4,"Sun",22,958.214015151498
4,"Sun",23,-9.42234848484361
4,"Sun",24,-819.604166666662
4,"Mon",1,-1203.82386363636
4,"Mon",2,-4152.88636363644
4,"Mon",3,-4113.29545454556
4,"Mon",4,-3861.24999999998
4,"Mon",5,-3455.43181818179
4,"Mon",6,-1541.52272727271
4,"Mon",7,316.977272727177
4,"Mon",8,1368.56818181814
4,"Mon",9,1771.97727272745
4,"Mon",10,1750.11363636367
4,"Mon",11,1933.56818181827
4,"Mon",12,1958.93181818193
4,"Mon",13,1863.06818181815
4,"Mon",14,1495.75000000009
4,"Mon",15,1270.0227272727
4,"Mon",16,1008.79545454544
4,"Mon",17,893.568181818171
4,"Mon",18,979.840909090958
4,"Mon",19,1720.47727272727
4,"Mon",20,2573.38636363627
4,"Mon",21,1584.34090909091
4,"Mon",22,196.840909090893
4,"Mon",23,-1039.97727272726
4,"Mon",24,-2012.8409090909
4,"Tue",1,-2473.17063492062
4,"Tue",2,-4164.78373015879
4,"Tue",3,-4170.11706349209
4,"Tue",4,-3880.11706349205
4,"Tue",5,-3456.40277777767
4,"Tue",6,-1348.45039682534
4,"Tue",7,772.359126983968
4,"Tue",8,1808.45436507931
4,"Tue",9,2099.40674603185
4,"Tue",10,2002.9781746032
4,"Tue",11,2208.16865079362
4,"Tue",12,2209.50198412713
4,"Tue",13,2083.3115079365
4,"Tue",14,1658.74007936505
4,"Tue",15,1449.93055555546
4,"Tue",16,1172.74007936516
4,"Tue",17,959.31150793646
4,"Tue",18,948.501984126947
4,"Tue",19,1634.45436507938
4,"Tue",20,2467.26388888883
4,"Tue",21,1263.59722222222
4,"Tue",22,-248.640873015899
4,"Tue",23,-1573.11706349207
4,"Tue",24,-2659.54563492063
4,"Wed",1,-3200.23611111109
4,"Wed",2,-3770.46031746036
4,"Wed",3,-3719.46031746029
4,"Wed",4,-3503.55555555559
4,"Wed",5,-3172.03174603166
4,"Wed",6,-1197.26984126976
4,"Wed",7,855.206349206169
4,"Wed",8,1868.20634920629
4,"Wed",9,2091.11111111123
4,"Wed",10,1938.87301587305
4,"Wed",11,2125.49206349203
4,"Wed",12,2134.30158730173
4,"Wed",13,1967.92063492063
4,"Wed",14,1554.58730158727
4,"Wed",15,1384.58730158721
4,"Wed",16,1065.82539682548
4,"Wed",17,867.349206349155
4,"Wed",18,865.444444444409
4,"Wed",19,1536.15873015874
4,"Wed",20,2315.87301587296
4,"Wed",21,1138.20634920635
4,"Wed",22,-436.746031746062
4,"Wed",23,-1748.26984126984
4,"Wed",24,-2799.79365079365
4,"Thu",1,-3371.43939393941
4,"Thu",2,-3675.81439393935
4,"Thu",3,-3681.35984848492
4,"Thu",4,-3470.99621212115
4,"Thu",5,-3199.26893939392
4,"Thu",6,-1259.85984848486
4,"Thu",7,768.821969696877
4,"Thu",8,1769.77651515147
4,"Thu",9,2068.68560606084
4,"Thu",10,1970.2310606061
4,"Thu",11,2204.64015151525
4,"Thu",12,2176.18560606075
4,"Thu",13,2015.32196969693
4,"Thu",14,1629.77651515164
4,"Thu",15,1421.04924242421
4,"Thu",16,1114.04924242422
4,"Thu",17,906.54924242423
4,"Thu",18,833.867424242491
4,"Thu",19,1455.23106060606
4,"Thu",20,2260.64015151504
4,"Thu",21,1125.64015151515
4,"Thu",22,-448.041666666681
4,"Thu",23,-1725.58712121211
4,"Thu",24,-2821.58712121212
4,"Fri",1,-3445.36706349205
4,"Fri",2,-3536.5178571429
4,"Fri",3,-3546.99404761899
4,"Fri",4,-3307.66071428576
4,"Fri",5,-3068.89880952372
4,"Fri",6,-1189.89880952374
4,"Fri",7,758.958333333148
4,"Fri",8,1776.05357142852
4,"Fri",9,2058.72023809535
4,"Fri",10,2051.76785714288
4,"Fri",11,2281.38690476187
4,"Fri",12,2227.767857143
4,"Fri",13,2096.33928571428
4,"Fri",14,1645.72023809521
4,"Fri",15,1438.72023809514
4,"Fri",16,1152.38690476199
4,"Fri",17,926.482142857093
4,"Fri",18,827.624999999958
4,"Fri",19,1375.52976190477
4,"Fri",20,2078.38690476185
4,"Fri",21,909.339285714284
4,"Fri",22,-555.327380952403
4,"Fri",23,-1842.70833333333
4,"Fri",24,-2946.85119047619
4,"Sat",1,-3621.03571428571
4,"Sat",2,-1701.94246031744
4,"Sat",3,-1842.94246031736
4,"Sat",4,-1840.08531746038
4,"Sat",5,-2073.70436507931
4,"Sat",6,-1505.13293650786
4,"Sat",7,-206.751984127105
4,"Sat",8,991.724206349176
4,"Sat",9,1779.2480158731
4,"Sat",10,1973.1527777778
4,"Sat",11,2075.20039682537
4,"Sat",12,1848.29563492076
4,"Sat",13,1603.00992063492
4,"Sat",14,996.771825396804
4,"Sat",15,680.105158730086
4,"Sat",16,432.962301587367
4,"Sat",17,319.295634920599
4,"Sat",18,379.200396825368
4,"Sat",19,919.771825396836
4,"Sat",20,1673.43849206345
4,"Sat",21,890.152777777768
4,"Sat",22,-257.894841269852
4,"Sat",23,-1467.75198412698
4,"Sat",24,-2506.46626984127
5,"Sun",1,-3055.09848484849
5,"Sun",2,-1695.7291666666
5,"Sun",3,-1854.45643939399
5,"Sun",4,-2201.95643939393
5,"Sun",5,-2543.36553030301
5,"Sun",6,-2058.5928030303
5,"Sun",7,-1226.68371212126
5,"Sun",8,-225.138257575795
5,"Sun",9,595.8617424243
5,"Sun",10,1089.31628787881
5,"Sun",11,1251.40719696974
5,"Sun",12,1283.04356060612
5,"Sun",13,1202.99810606059
5,"Sun",14,868.861742424289
5,"Sun",15,527.725378787866
5,"Sun",16,325.679924242419
5,"Sun",17,379.134469696959
5,"Sun",18,687.407196969718
5,"Sun",19,1093.77083333333
5,"Sun",20,1556.77083333328
5,"Sun",21,1877.90719696969
5,"Sun",22,1145.27083333332
5,"Sun",23,37.7708333333426
5,"Sun",24,-836.865530303026
5,"Mon",1,-1313.61363636364
5,"Mon",2,-4906.97348484852
5,"Mon",3,-4897.15530303043
5,"Mon",4,-4894.97348484847
5,"Mon",5,-4427.88257575755
5,"Mon",6,-1713.47348484849
5,"Mon",7,541.117424242329
5,"Mon",8,1719.02651515147
5,"Mon",9,2152.25378787901
5,"Mon",10,2135.84469696973
5,"Mon",11,2443.98106060615
5,"Mon",12,2529.02651515166
5,"Mon",13,2413.61742424238
5,"Mon",14,2032.39015151528
5,"Mon",15,1872.2992424242
